A07071	A07071-000030	THE	EHT	THE	the	dt	\front[1]\div[1]\p[1]	0		MALCONTENT		j-jn		MALCONTENT . 	1-b-0010	title_page	1
A07071	A07071-000040	MALCONTENT	TNETNOCLAM	MALCONTENT	malcontent	j-jn	\front[1]\div[1]\p[1]	0	THE	.	dt	.	THE	. 	1-b-0020	title_page	2
A07071	A07071-000050	.	.	.	.	.	\front[1]\div[1]\p[1]	1	MALCONTENT		j-jn		THE MALCONTENT		1-b-0030	title_page	3
A07071	A07071-000080	By	yB	By	by	p-acp	\front[1]\div[1]\p[2]	0		Iohn		np1		Iohn Marston . 	1-b-0040	title_page	4
A07071	A07071-000090	Iohn	nhoI	john	john	np1	\front[1]\div[1]\p[2]	0	By	Marston	p-acp	np1	By	Marston . 	1-b-0050	title_page	5
A07071	A07071-000100	Marston	notsraM	Marston	Marston	np1	\front[1]\div[1]\p[2]	0	Iohn	.	np1	.	By Iohn	. 	1-b-0060	title_page	6
A07071	A07071-000110	.	.	.	.	.	\front[1]\div[1]\p[2]	0	Marston		np1		By Iohn Marston		1-b-0070	title_page	7
A07071	A07071-000140	1604	4061	1604	1604	crd	\front[1]\div[1]\p[3]	0		.		.		. 	1-b-0080	title_page	8
A07071	A07071-000141	.	.	.	.	.	\front[1]\div[1]\p[3]	1	1604		crd		1604		1-b-0090	title_page	9
A07071	A07071-000170	Printed	detnirP	Printed	print	j-vvn	\front[1]\div[1]\p[4]	0		at		p-acp		at London by 〈◊〉 for William Aspley , and 	1-b-0100	title_page	10
A07071	A07071-000180	at	ta	at	at	p-acp	\front[1]\div[1]\p[4]	0	Printed	London	j-vvn	np1	Printed	London by 〈◊〉 for William Aspley , and are 	1-b-0110	title_page	11
A07071	A07071-000190	London	nodnoL	London	London	np1	\front[1]\div[1]\p[4]	0	at	by	p-acp	p-acp	Printed at	by 〈◊〉 for William Aspley , and are to be 	1-b-0120	title_page	12
A07071	A07071-000200	by	yb	by	by	p-acp	\front[1]\div[1]\p[4]	0	London	〈◊〉	np1	n1	Printed at London	〈◊〉 for William Aspley , and are to be sold 	1-b-0130	title_page	13
A07071	A07071-000210	〈◊〉	〉◊〈	〈◊〉	〈◊〉	n1	\front[1]\div[1]\p[4]\hi[1]	0	by	for	p-acp	p-acp	Printed at London by	for William Aspley , and are to be sold 	1-b-0140	title_page	14
